benchmark,language,run,time_ms
fibonacci,c,1,16
fibonacci,c,2,16
fibonacci,c,3,16
fibonacci,go,1,43
fibonacci,go,2,42
fibonacci,go,3,43
fibonacci,rust,1,24
fibonacci,rust,2,25
fibonacci,rust,3,25
fibonacci,zig,1,26
fibonacci,zig,2,26
fibonacci,zig,3,26
fibonacci,python,1,734
fibonacci,python,2,735
fibonacci,python,3,749
fibonacci,typescript,1,1012
fibonacci,typescript,2,981
fibonacci,typescript,3,1000
fibonacci,lumen,1,75
fibonacci,lumen,2,65
fibonacci,lumen,3,64
json_parse,c,1,3
json_parse,c,2,3
json_parse,c,3,4
json_parse,go,1,14
json_parse,go,2,14
json_parse,go,3,15
json_parse,rust,1,5
json_parse,rust,2,4
json_parse,rust,3,5
json_parse,zig,1,3
json_parse,zig,2,3
json_parse,zig,3,2
json_parse,python,1,33
json_parse,python,2,24
json_parse,python,3,24
json_parse,typescript,1,868
json_parse,typescript,2,857
json_parse,typescript,3,904
json_parse,lumen,1,72
json_parse,lumen,2,75
json_parse,lumen,3,72
string_ops,c,1,3
string_ops,c,2,3
string_ops,c,3,3
string_ops,go,1,13
string_ops,go,2,4
string_ops,go,3,4
string_ops,rust,1,3
string_ops,rust,2,3
string_ops,rust,3,3
string_ops,zig,1,2
string_ops,zig,2,2
string_ops,zig,3,2
string_ops,python,1,16
string_ops,python,2,17
string_ops,python,3,15
string_ops,typescript,1,903
string_ops,typescript,2,975
string_ops,typescript,3,915
string_ops,lumen,1,6
string_ops,lumen,2,7
string_ops,lumen,3,6
tree,c,1,23
tree,c,2,22
tree,c,3,23
tree,go,1,25
tree,go,2,24
tree,go,3,24
tree,rust,1,26
tree,rust,2,27
tree,rust,3,26
tree,zig,1,12
tree,zig,2,12
tree,zig,3,12
tree,python,1,585
tree,python,2,574
tree,python,3,555
tree,typescript,1,989
tree,typescript,2,981
tree,typescript,3,946
tree,lumen,1,447
tree,lumen,2,442
tree,lumen,3,446
sort,c,1,58
sort,c,2,58
sort,c,3,58
sort,go,1,67
sort,go,2,68
sort,go,3,67
sort,rust,1,24
sort,rust,2,23
sort,rust,3,23
sort,zig,1,70
sort,zig,2,72
sort,zig,3,71
sort,python,1,564
sort,python,2,728
sort,python,3,788
sort,typescript,1,1704
sort,typescript,2,1306
sort,typescript,3,1132
sort,lumen,1,387
sort,lumen,2,376
sort,lumen,3,369
nbody,c,1,52
nbody,c,2,53
nbody,c,3,52
nbody,go,1,70
nbody,go,2,70
nbody,go,3,73
nbody,rust,1,41
nbody,rust,2,41
nbody,rust,3,40
nbody,zig,1,36
nbody,zig,2,36
nbody,zig,3,36
nbody,python,1,4918
nbody,python,2,5065
nbody,python,3,4959
nbody,typescript,1,987
nbody,typescript,2,1007
nbody,typescript,3,968
nbody,lumen,1,403
nbody,lumen,2,401
nbody,lumen,3,400
matrix_mult,c,1,7
matrix_mult,c,2,6
matrix_mult,c,3,6
matrix_mult,go,1,10
matrix_mult,go,2,10
matrix_mult,go,3,11
matrix_mult,rust,1,11
matrix_mult,rust,2,10
matrix_mult,rust,3,10
matrix_mult,zig,1,8
matrix_mult,zig,2,8
matrix_mult,zig,3,7
matrix_mult,python,1,777
matrix_mult,python,2,732
matrix_mult,python,3,787
matrix_mult,typescript,1,908
matrix_mult,typescript,2,936
matrix_mult,typescript,3,952
matrix_mult,lumen,1,886
matrix_mult,lumen,2,855
matrix_mult,lumen,3,846
fannkuch,c,1,159
fannkuch,c,2,161
fannkuch,c,3,159
fannkuch,go,1,154
fannkuch,go,2,154
fannkuch,go,3,155
fannkuch,rust,1,160
fannkuch,rust,2,160
fannkuch,rust,3,160
fannkuch,zig,1,203
fannkuch,zig,2,206
fannkuch,zig,3,205
fannkuch,python,1,4776
fannkuch,python,2,4538
fannkuch,python,3,4578
fannkuch,typescript,1,1045
fannkuch,typescript,2,1023
fannkuch,typescript,3,1591
fannkuch,lumen,1,ERROR
fannkuch,lumen,2,ERROR
fannkuch,lumen,3,ERROR
primes_sieve,c,1,6
primes_sieve,c,2,4
primes_sieve,c,3,5
primes_sieve,go,1,7
primes_sieve,go,2,5
primes_sieve,go,3,5
primes_sieve,rust,1,5
primes_sieve,rust,2,5
primes_sieve,rust,3,4
primes_sieve,zig,1,4
primes_sieve,zig,2,4
primes_sieve,zig,3,4
primes_sieve,python,1,207
primes_sieve,python,2,189
primes_sieve,python,3,185
primes_sieve,typescript,1,1023
primes_sieve,typescript,2,821
primes_sieve,typescript,3,842
primes_sieve,lumen,1,332
primes_sieve,lumen,2,321
primes_sieve,lumen,3,316
ackermann,lumen,1,835
ackermann,lumen,2,854
ackermann,lumen,3,831
call_overhead,lumen,1,1657
call_overhead,lumen,2,2193
call_overhead,lumen,3,1718
mandelbrot,lumen,1,27
mandelbrot,lumen,2,27
mandelbrot,lumen,3,28
int_fib,lumen,1,63
int_fib,lumen,2,65
int_fib,lumen,3,64
int_primes,lumen,1,41
int_primes,lumen,2,43
int_primes,lumen,3,45
int_sum_loop,lumen,1,412
int_sum_loop,lumen,2,533
int_sum_loop,lumen,3,693
list_sum,lumen,1,8
list_sum,lumen,2,9
list_sum,lumen,3,8
string_concat,lumen,1,7
string_concat,lumen,2,7
string_concat,lumen,3,7
